__title,__n_pages,__n_chars,compares_to_literature,drift_acknowledged,drift_pandemic,drift_sliding_window,exogenous_calendar,exogenous_internet_search,exogenous_social_media,exogenous_weather,explains_feature_importance,feature_selection_LIME,feature_selection_RFE,feature_selection_SHAP,feature_selection_importance,feature_selection_lasso,has_conclusion_section,has_discussion_section,has_limitations_section,has_methods_section,has_results_section,hpo_bayesian,hpo_genetic,hpo_grid_search,hpo_manual,hpo_optuna,hpo_random_search,metric_AIC,metric_AUC,metric_F1,metric_MAE,metric_MAPE,metric_MASE,metric_MSE,metric_R2,metric_RMSE,metric_ROC,metric_Winkler,metric_accuracy,metric_precision_recall,model_ARIMA,model_CNN,model_ETS_HoltWinters,model_ElasticNet,model_Ensemble,model_GBR_GBM,model_GRU,model_Hybrid,model_LSTM,model_Lasso,model_LinearReg,model_NB_GLM,model_NN_MLP,model_Prophet,model_RNN,model_RandomForest,model_Ridge,model_SARIMA,model_SARIMAX,model_SVR_SVM,model_XGBoost,operational_recommendations,results_confidence_interval,results_lineplot_actual_vs_pred,results_per_horizon,results_per_period_quarter_month,results_per_segment,results_residual_analysis,results_scatter_plot,results_significance_test,results_table_with_models,split_80_20_70_30,split_chronological,split_random,states_limitations_explicitly,uq_bayesian,uq_bootstrap,uq_conformal,uq_quantile,uses_R,uses_pmdarima,uses_python,uses_pytorch,uses_scikit_learn,uses_tensorflow_keras,validation_holdout,validation_kfold,validation_loocv,validation_rolling_origin,validation_train_test_only
Predicting the risk of emergency admission.pdf,18,60022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prediction of outpatient waiting time.pdf,14,55630,1,0,1,0,1,0,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
PREDICTION OF PATIENT FLOW.pdf,68,125050,0,0,1,0,0,0,0,1,1,0,1,1,1,0,1,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
s11356-023-28682-8 (1).pdf,13,60423,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
s11356-023-28682-8.pdf,13,60423,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
s12911-018-0620-z.pdf,17,77035,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0
s12911-021-01537-3.pdf,13,61742,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1
s12913-024-11238-y.pdf,29,95171,0,0,1,0,0,0,1,1,1,0,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0
SHTI-289-SHTI210918.pdf,4,13973,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0
SHTI-295-SHTI220751.pdf,4,12530,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Smart_Healthcare_System_for_Disease_Prediction_using_Hybrid_Machine_Learning.pdf,8,42637,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Transfusion - 2021 - Li - From demand forecasting to inventory ordering decisions for red blood cells through integrating.pdf,13,53101,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Using electronic health records.pdf,5,33527,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
