specialty,model,trial,n_estimators,max_depth,learning_rate,subsample,cv_RMSE,cv_MAPE,cv_MAE,cv_R2,time_s,hidden_layers,units,dropout,batch_size,lookback
Paediatrics,XGBoost,1,200.0,8.0,0.01,1.0,1.9591992585101792,48.62370567605609,1.5998539039066861,-0.6719695283303164,10.6,,,,,
Paediatrics,XGBoost,3,300.0,8.0,0.1,1.0,1.9694420122315062,51.90808683974402,1.6061506390571594,-0.6941540794177292,6.7,,,,,
Paediatrics,XGBoost,9,500.0,8.0,0.05,0.85,2.017216776267832,53.336755732979086,1.674682308946337,-0.7103181333194927,13.0,,,,,
Paediatrics,XGBoost,0,100.0,8.0,0.1,0.85,2.018727934926409,58.87531749407451,1.7074777483940125,-0.9314551827641961,6.2,,,,,
Paediatrics,XGBoost,7,300.0,5.0,0.05,0.7,2.0366390197852406,48.070637005283714,1.6308470674923488,-0.8391936642529849,3.7,,,,,
Paediatrics,ANN,6,,,0.004844677737096722,,1.9444099952485754,43.4318354845047,1.5720133474894933,-0.7863175587336151,10.6,2.0,256.0,0.2,32.0,
Paediatrics,ANN,8,,,0.0020238952437608886,,1.9550287359544565,45.69483401576677,1.5612588848386493,-0.8460769915851272,12.1,2.0,256.0,0.4,16.0,
Paediatrics,ANN,7,,,0.007260179744876617,,1.9597059898065132,52.15874101973715,1.664076794896807,-0.7809013077888097,3.5,2.0,128.0,0.1,64.0,
Paediatrics,ANN,2,,,0.0007339216231845529,,1.967370537145778,44.05061137733005,1.5773627723966326,-0.7360560099715832,3.0,2.0,256.0,0.3,64.0,
Paediatrics,ANN,3,,,0.008030064871219652,,1.9801104408758683,46.64696388329778,1.6168550218854634,-0.8291098761228461,4.7,2.0,128.0,0.3,32.0,
Paediatrics,ANN,4,,,0.0018874053315616273,,1.994333501450655,48.952352914356055,1.6303840126310079,-0.727833035736204,2.8,2.0,192.0,0.2,64.0,
Paediatrics,ANN,5,,,0.0006053383222993595,,2.0139931246213267,42.69490183818908,1.5846446003232684,-0.7377430725682547,4.0,1.0,64.0,0.1,32.0,
Paediatrics,ANN,0,,,0.006546838871578803,,2.0909414382173255,63.9289646537531,1.782186324255807,-0.895552244535985,6.5,1.0,256.0,0.3,32.0,
Paediatrics,ANN,9,,,0.0038693425662390908,,2.106509189079814,49.376923935753965,1.7321454524993896,-1.0222868517728352,8.4,1.0,64.0,0.3,16.0,
Paediatrics,ANN,1,,,0.009295739575551345,,2.1573478533233894,55.55443731915383,1.849420492989676,-1.155858201917768,6.9,1.0,192.0,0.1,16.0,
Paediatrics,LSTM,0,,,0.006546838871578803,,1.8757025601155395,47.24038395991243,1.5141132673817141,-0.5173047375107613,16.5,,128.0,0.2,32.0,14.0
Paediatrics,LSTM,1,,,0.009295739575551345,,1.9125910908855708,60.537604499550014,1.6462250287565605,-0.5096046519044583,12.2,,128.0,0.1,32.0,14.0
Paediatrics,LSTM,9,,,0.0038693425662390908,,1.9158704689669075,42.72081099150811,1.52229185669894,-0.4967036675955576,7.1,,64.0,0.2,32.0,14.0
Paediatrics,LSTM,6,,,0.004844677737096722,,1.9470452510281118,41.668112110394645,1.540872184752529,-0.6085238631966814,8.7,,128.0,0.1,64.0,21.0
Paediatrics,LSTM,5,,,0.0006053383222993595,,1.952039949561924,40.230100046867406,1.5609856126601234,-0.7107645833062057,3.5,,64.0,0.1,64.0,14.0
Paediatrics,LSTM,7,,,0.007260179744876617,,1.963243438020379,47.57378481435052,1.5977249978219874,-0.5685304561352075,5.0,,64.0,0.1,64.0,21.0
Paediatrics,LSTM,3,,,0.008030064871219652,,1.9643845307168502,51.15789123520206,1.559176139066207,-0.6566255961810388,8.9,,64.0,0.2,32.0,21.0
Paediatrics,LSTM,8,,,0.0020238952437608886,,1.9713075163694096,45.11005443600139,1.5758902259852352,-0.641490311343202,13.0,,128.0,0.3,32.0,21.0
Paediatrics,LSTM,2,,,0.0007339216231845529,,1.987335349437247,42.339870547876195,1.5812862658628517,-0.6709350469166895,15.0,,128.0,0.3,64.0,21.0
Paediatrics,LSTM,4,,,0.0018874053315616273,,1.9927588244673475,44.578469082791,1.5843511951408051,-0.6718933445521124,11.5,,128.0,0.2,64.0,21.0
Gynaecology,XGBoost,5,300.0,5.0,0.01,1.0,1.1531789424514296,47.43458284272088,0.9727568387985229,-0.4137879736316667,3.6,,,,,
Gynaecology,XGBoost,8,100.0,6.0,0.3,0.7,1.1670449714992042,47.01341981357997,0.9455141812562943,-0.5130193596305316,1.6,,,,,
Gynaecology,XGBoost,6,500.0,6.0,0.05,1.0,1.1752226994455248,52.60580542021328,0.9791443535259792,-0.520859578760729,7.5,,,,,
Gynaecology,XGBoost,0,100.0,8.0,0.1,0.85,1.18643507383536,47.4629892706871,0.9665368556976318,-0.4827000562038684,13.0,,,,,
