trial,method,n_estimators,max_depth,learning_rate,subsample,cv_RMSE,cv_MAPE,cv_MAE,cv_R2,time_s,model,hidden_layers,units,dropout,batch_size,lookback
6,Random,500.0,6.0,0.05,1.0,8.533664225941754,10.649061179186765,6.572506059919084,-0.8720461798784696,9.7,XGBoost,,,,,
7,Random,300.0,5.0,0.05,0.7,8.145270798838819,10.518498730525286,6.466590118408203,-0.7939814683137885,4.8,XGBoost,,,,,
8,Random,100.0,6.0,0.3,0.7,7.219988475007116,9.598745036307188,5.9999765668596545,-0.3021866120650308,2.2,XGBoost,,,,,
9,Random,500.0,8.0,0.05,0.85,8.489752004117546,10.520332351318405,6.4848555428641195,-0.9104924468341462,20.8,XGBoost,,,,,
0,Optuna,200.0,8.0,0.3,0.7,8.177316195304064,10.426192543063205,6.419604056222099,-0.7285231636481424,5.2,XGBoost,,,,,
1,Optuna,300.0,5.0,0.1,0.85,8.071202126335386,10.458286133981968,6.4947256905691955,-0.5750766071491149,5.8,XGBoost,,,,,
2,Optuna,500.0,3.0,0.01,0.85,7.101799511818034,9.16880174308614,5.6323832920619425,-0.28101524074530526,4.2,XGBoost,,,,,
3,Optuna,100.0,5.0,0.1,1.0,7.778506688160681,9.527421841578615,5.856763022286552,-0.5489956406356554,1.9,XGBoost,,,,,
4,Optuna,300.0,8.0,0.05,0.85,8.4908525631646,10.51141940258068,6.480184609549386,-0.9136696371887091,12.3,XGBoost,,,,,
5,Optuna,200.0,5.0,0.3,0.85,9.070382966464686,11.275506435757602,6.817171587262836,-1.218256020362284,3.9,XGBoost,,,,,
6,Optuna,300.0,3.0,0.3,1.0,8.443685417967835,11.334137066207798,6.900150626046317,-0.8360539131922244,3.0,XGBoost,,,,,
7,Optuna,300.0,8.0,0.1,0.85,8.4305704962567,10.430522166417177,6.474803924560547,-0.8246207005822986,12.5,XGBoost,,,,,
8,Optuna,200.0,8.0,0.05,1.0,9.029759243215624,10.923491466344068,6.846385301862445,-1.0206168089904517,15.6,XGBoost,,,,,
9,Optuna,300.0,3.0,0.3,0.7,10.264311315726081,13.246296864085409,8.022146606445313,-2.1882471476971403,3.4,XGBoost,,,,,
0,Grid,,,0.001,,8.005084564347062,10.588730062019682,6.469937896728515,-0.6587683533998153,14.5,ANN,1.0,128.0,0.2,32.0,
1,Grid,,,0.005,,8.571318475253197,11.877220118778835,6.90432630266462,-1.1802537157669453,3.2,ANN,1.0,192.0,0.1,32.0,
2,Grid,,,0.005,,7.953016869239245,10.521907407324628,6.244402967180525,-0.8658509382221414,6.6,ANN,1.0,256.0,0.2,32.0,
3,Grid,,,0.001,,7.384524776077579,10.693023484037997,6.438043866838727,-0.43756382201497585,6.6,ANN,2.0,128.0,0.2,32.0,
4,Grid,,,0.002,,7.319933135168695,9.871351056841709,5.866123308454241,-0.4305325042392366,9.2,ANN,2.0,192.0,0.2,32.0,
5,Grid,,,0.005,,7.771137749592512,10.942481347248677,6.528155190604073,-0.5378536151373103,10.1,ANN,2.0,256.0,0.2,32.0,
6,Grid,,,0.001,,7.518902724579277,10.36107839600327,6.266618238176618,-0.5496079678913206,3.7,ANN,2.0,256.0,0.3,64.0,
7,Grid,,,0.002,,8.005724794573837,10.68571279834847,6.494225856236049,-0.6656471614363382,2.7,ANN,1.0,128.0,0.3,64.0,
8,Grid,,,0.005,,7.890578970914582,11.125593665190014,6.552371869768415,-0.8222225270682554,11.4,ANN,2.0,64.0,0.1,16.0,
9,Grid,,,0.001,,7.440115366430275,11.01050438256011,6.493763950892857,-0.5542897846453374,3.4,ANN,1.0,256.0,0.4,32.0,
0,Random,,,0.006546838871578803,,8.050799285952644,10.795506630901707,6.358449336460659,-0.8386391206686705,4.1,ANN,1.0,256.0,0.3,32.0,
1,Random,,,0.009295739575551345,,8.170798838336463,11.603195273232505,6.710122680664062,-1.0175213810784576,9.0,ANN,1.0,192.0,0.1,16.0,
2,Random,,,0.0007339216231845529,,7.425781817080361,9.901425349432035,6.055002593994141,-0.47404505728948526,8.1,ANN,2.0,256.0,0.3,64.0,
