n_estimators,max_depth,learning_rate,subsample,cv_MAPE,cv_MAE,cv_RMSE,cv_R2,cv_std_MAPE
100,3,0.01,0.7,12.215481847384158,6.788044684273855,8.352759423211852,-0.548436089265498,5.695410950142702
300,6,0.01,0.85,12.231203993867663,6.860405458722795,8.715169567841972,-0.7178060153827712,4.151730284580467
100,3,0.1,1.0,12.25331916246171,6.840553229195732,8.6291334225724,-0.628113882931566,4.584918626115373
500,5,0.01,0.7,12.253584907408182,6.8725722176688055,8.716511670534112,-0.7054442070364095,4.249649024391244
500,5,0.01,0.85,12.254787240510037,6.879000200544084,8.755627711408824,-0.7621197925503365,4.085035502561604
200,6,0.01,0.7,12.256705660722712,6.853225490025112,8.599703987595834,-0.6322662721176042,4.6370186108374885
200,3,0.05,0.85,12.25705573493614,6.883395385742188,8.674734522235097,-0.7457483022795625,3.7980275052405847
100,5,0.01,0.85,12.287760606313936,6.847717394147601,8.43532121194447,-0.5701891285625271,5.156920018934533
100,6,0.01,0.7,12.294078793691789,6.81424560546875,8.477054905070977,-0.5349033065015754,5.424912444235483
200,8,0.01,0.85,12.309958931487973,6.914425386701312,8.747028644506518,-0.7232769695915318,4.513518551108515
200,6,0.3,0.85,12.325890144078228,7.100283813476563,9.465318824218478,-1.4018731278428513,4.244091290724439
500,6,0.3,0.85,12.325923501296375,7.100301197596958,9.465363368789427,-1.4019640949330756,4.244196710783985
300,6,0.3,0.85,12.325926774492062,7.100303268432617,9.46536449660932,-1.4019635979275618,4.244190715297794
200,8,0.01,0.7,12.335633752921737,6.8882934025355755,8.708990461979798,-0.6744880326769318,4.935776113659106
100,6,0.3,0.85,12.341041059306985,7.107456152779716,9.475397647056429,-1.4065504063191168,4.247684009091569
100,6,0.01,0.85,12.35143436653475,6.8595938546316955,8.50382023399997,-0.5844103114265664,5.081302687916027
100,8,0.01,0.7,12.365130829635335,6.859164428710938,8.572037822196947,-0.5670697330953953,5.564219942479163
200,5,0.01,1.0,12.378054841201854,7.0011659894670775,8.712661175574814,-0.7297456688951399,4.086295829884138
200,3,0.05,0.7,12.38268441619432,6.959659140450616,8.664121186310046,-0.7104216328977363,4.0589605811703215
300,6,0.01,0.7,12.40980913478682,6.963040488106865,8.78006002966261,-0.7457794896362779,4.3686565494572625
100,8,0.01,0.85,12.41426157240156,6.890604182652065,8.597456642994592,-0.6214357576218579,5.298220521720569
100,3,0.1,0.85,12.434405288746124,6.993277631487166,8.76702274381327,-0.7567503778245409,4.051497619477333
100,5,0.01,1.0,12.449067525248731,6.974588939121792,8.63767218299647,-0.6871364122199222,4.87998041800771
500,6,0.01,0.85,12.452262173995557,6.980011912754604,8.914136506261588,-0.8157184137821831,4.117768067426379
