model,horizon_day,n,MAPE,MAE,RMSE,R2
hybrid_sarimax_xgb,2,27,12.429455270232264,6.837826449302122,9.36891790235514,-0.14721140808061417
hybrid_sarimax_xgb,3,26,13.27047315584724,7.8058955682912075,9.713379138532312,-0.049918028235979905
hybrid_sarimax_xgb,4,26,11.520379074334425,6.329954519608217,8.134725681410371,-0.0005695412985384785
hybrid_sarimax_xgb,5,26,12.796321056956161,8.05855713535586,10.962868573432633,-0.7346637939672309
hybrid_sarimax_xgb,6,26,12.511394815672963,6.545482904664189,7.904859510144666,0.12683549166785424
hybrid_sarimax_xgb,7,26,12.974994142976795,7.159530728587872,8.270839754079116,-0.1760380000675239
hybrid_lstm_xgb,1,27,15.835396363114157,11.229692844236347,13.766239907911084,-0.4386071759036301
hybrid_lstm_xgb,2,27,14.728173349126056,7.798748247950382,10.47407040011965,-0.4338230824754752
hybrid_lstm_xgb,3,26,13.686566310556497,7.9088688348970555,10.076723473247883,-0.1299348229812025
hybrid_lstm_xgb,4,26,13.08671053750208,7.14529623327285,8.581134195361763,-0.11339903635307991
hybrid_lstm_xgb,5,26,10.73758891771018,6.8619585381261885,9.89881661938452,-0.414273670548325
hybrid_lstm_xgb,6,26,13.939525309556453,7.309157464014874,9.021280922294713,-0.13721918283018741
hybrid_lstm_xgb,7,26,12.375668100895961,6.396683996594837,8.988705724973466,-0.38904548440974107
hybrid_stl_xgb,1,27,15.443730261311265,10.959135249978784,13.623644778080207,-0.4089584215850812
hybrid_stl_xgb,2,27,16.11988117330963,9.801566013617698,11.22220291858776,-0.6459658674424429
hybrid_stl_xgb,3,26,14.301669197490021,8.284560427419498,10.749375120314468,-0.28582287915011695
hybrid_stl_xgb,4,26,12.246334819651903,6.417796082026912,8.41023564806376,-0.06949259710634781
hybrid_stl_xgb,5,26,11.254624751620932,7.077454565920846,9.855049677344144,-0.4017950892607083
hybrid_stl_xgb,6,26,14.95461926711757,8.663300785262365,10.495673566505834,-0.5393181595283489
hybrid_stl_xgb,7,26,13.17334391970878,7.664732473682333,9.279752040322142,-0.48045388979393566
hybrid_stl_ann,1,27,13.92636038346637,9.836264093125191,12.54305525796624,-0.1943131816894743
hybrid_stl_ann,2,27,14.597832990047168,8.71539008724311,10.489904174745433,-0.43816141337093617
hybrid_stl_ann,3,26,12.561995069838567,7.0991651758980945,9.245385720799936,0.048815463596710296
hybrid_stl_ann,4,26,13.922781445684187,7.285148580472164,9.07476317070798,-0.245179761666817
hybrid_stl_ann,5,26,11.466749473635247,7.045568718150076,8.743818016304916,-0.10349182183633743
hybrid_stl_ann,6,26,14.207739982058214,8.11077464444102,9.93157502009571,-0.3783008307405886
hybrid_stl_ann,7,26,13.187572346266347,7.5030883992617765,8.958847156957535,-0.379832584370867
hybrid_stl_lstm,1,27,13.528488804895577,9.738787781923971,12.422687039643574,-0.1715009449424445
hybrid_stl_lstm,2,27,16.61167764626621,10.15135777031057,11.657694979887358,-0.7761922314522265
hybrid_stl_lstm,3,26,13.806801164600694,7.996764222029347,10.18881303990856,-0.1552125493128076
hybrid_stl_lstm,4,26,13.265093058264632,6.948244548485225,8.810049847494483,-0.17359482287662575
hybrid_stl_lstm,5,26,10.577609620649973,6.548204544318056,8.662396788680457,-0.08303637911414419
hybrid_stl_lstm,6,26,15.195114987311886,8.933970531408692,10.752195204768816,-0.6154817033652891
hybrid_stl_lstm,7,26,13.138679641947485,7.646196799248016,8.986878776002897,-0.3884808964922102
