date,residual
2022-06-09,5.109972667218024
2022-06-10,8.30146356453578
2022-06-11,3.220834419682241
2022-06-12,-8.788465649585362
2022-06-13,10.520938529074122
2022-06-14,8.383491070069077
2022-06-15,-6.978730883141296
2022-06-16,3.5041057655328984
2022-06-17,-0.710942741689486
2022-06-18,-4.897056811656839
2022-06-19,2.0815078737417494
2022-06-20,0.9339858459766717
2022-06-21,-0.48404451483079924
2022-06-22,-9.859319938110822
2022-06-23,1.3733629322374625
2022-06-24,4.853032372885103
2022-06-25,-4.861663274845242
2022-06-26,15.432367214061877
2022-06-27,-3.686956952204021
2022-06-28,1.681985002144927
2022-06-29,1.863639298224058
2022-06-30,-31.43042751222933
2022-07-01,4.792544825533312
2022-07-02,2.8896457590697153
2022-07-03,12.347814825080384
2022-07-04,9.473699808635544
2022-07-05,17.067506830861404
2022-07-06,5.796915186796063
2022-07-07,16.816247225121373
2022-07-08,-1.454104263838076
2022-07-09,-0.6804223756059997
2022-07-10,0.7431326757355237
2022-07-11,5.841618095743236
2022-07-12,5.396374405165361
2022-07-13,-11.31834489225048
2022-07-14,-10.032462329804659
2022-07-15,12.56824256235143
2022-07-16,0.6266040357900309
2022-07-17,13.835308184253748
2022-07-18,-6.834877939787866
2022-07-19,18.932017226238045
2022-07-20,2.300161706984241
2022-07-21,8.4438674139438
2022-07-22,3.883934900066734
2022-07-23,5.276874051007859
2022-07-24,1.587263017546519
2022-07-25,10.210037269370517
2022-07-26,-4.39601732384542
2022-07-27,-9.433798194356328
2022-07-28,-9.147124496138822
2022-07-29,4.240113973765176
2022-07-30,0.0015515719106247161
2022-07-31,-6.756693891326691
2022-08-01,47.48334847873188
2022-08-02,43.175753190147276
2022-08-03,42.96766136815721
2022-08-04,-5.6981686896427135
2022-08-05,-25.277246713168978
2022-08-06,-3.7683902844942807
2022-08-07,-6.23846879225151
2022-08-08,3.323536115649503
2022-08-09,-17.09175225563341
2022-08-10,42.83734136314696
2022-08-11,-13.795409746474462
2022-08-12,-7.488218496030555
2022-08-13,-6.4544740517008705
2022-08-14,-8.929563132586821
2022-08-15,18.707593203424764
2022-08-16,-5.185552150814203
2022-08-17,9.930732702661174
2022-08-18,2.3870779877721233
2022-08-19,12.255877133221489
2022-08-20,-15.048499679728195
2022-08-21,2.452750013037516
2022-08-22,-12.574841542367949
2022-08-23,-6.2859066440224325
2022-08-24,-13.742828085627977
2022-08-25,-6.661232766727082
2022-08-26,2.975800711842311
2022-08-27,-5.368228985710189
2022-08-28,-12.656056042759843
2022-08-29,0.601573909820317
2022-08-30,-11.39094048315269
2022-08-31,-0.7669555438259223
2022-09-01,16.68423680566771
2022-09-02,43.25244180364193
2022-09-03,4.433519682185704
2022-09-04,42.21935609606727
2022-09-05,47.2218336063423
2022-09-06,-29.31389123987151
2022-09-07,-33.74033329722967
2022-09-08,8.933154917542467
2022-09-09,-8.174712069961714
2022-09-10,52.219878277471366
2022-09-11,-34.68974911426187
2022-09-12,19.274711273414454
2022-09-13,-36.61582807578539
2022-09-14,34.14991285423139
2022-09-15,-11.381844805102133
2022-09-16,-5.089363331924787
2022-09-17,32.46941224806311
2022-09-18,-39.15905208761953
2022-09-19,-26.485267739948355
2022-09-20,-8.853248195336079
2022-09-21,-27.082629975613813
2022-09-22,36.23169986973678
2022-09-23,13.079088732752894
2022-09-24,-23.15700130308508
2022-09-25,1.421746421896728
2022-09-26,28.9692417029503
2022-09-27,-19.741244796440824
2022-09-28,-29.784438927275218
2022-09-29,-1.7924452553109944
2022-09-30,-25.650787545488754
2022-10-01,-10.532883440254963
2022-10-02,-3.980100995951993
2022-10-03,-17.681639307365856
2022-10-04,9.86452560718594
2022-10-05,-13.45765247502574
2022-10-06,-3.5010833598437046
2022-10-07,-8.695950603051372
2022-10-08,-5.299394996070909
2022-10-09,-5.4091506710600825
2022-10-10,-23.627252052027217
2022-10-11,12.180714349553632
2022-10-12,8.074968108202768
2022-10-13,-16.50293553832055
2022-10-14,-12.254451274152075
2022-10-15,-16.875242192188367
2022-10-16,12.843854915686194
2022-10-17,-18.55731022005044
2022-10-18,19.404204048369436
2022-10-19,-14.512098769008972
