specialty,model,block,MAPE,MAE,RMSE,R2,order,params,cv_RMSE,cv_MAPE
Surgery,XGBoost,val,54.2445404245388,1.9433452972696852,2.834480186479865,-0.02235778965281865,,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1, 'subsample': 1.0}",2.1494883529320754,69.85770256982909
Surgery,XGBoost,test,65.8267297626341,1.9515383889277775,2.5331769891370794,-0.07588847618051475,,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1, 'subsample': 1.0}",2.1494883529320754,69.85770256982909
Surgery,ANN,val,53.570716493571446,2.0088411274811495,2.848475590797481,-0.03247861161764587,,"{'hidden_layers': 2, 'units': 128, 'dropout': 0.3, 'learning_rate': 0.008030064871219652, 'batch_size': 32}",2.164531200827988,75.92771430573765
Surgery,ANN,test,58.58988000741302,1.9015654959160873,2.524446411626289,-0.06848517108293284,,"{'hidden_layers': 2, 'units': 128, 'dropout': 0.3, 'learning_rate': 0.008030064871219652, 'batch_size': 32}",2.164531200827988,75.92771430573765
Surgery,LSTM,val,51.49399422718687,1.9253717825589944,2.8298906365540772,-0.019049695703900138,,"{'lookback': 21, 'units': 128, 'dropout': 0.3, 'learning_rate': 0.0007339216231845529, 'batch_size': 64}",2.021340411517294,62.000247110810605
Surgery,LSTM,test,58.82686376561463,1.8968976484789235,2.4794208901771726,-0.030710497311208007,,"{'lookback': 21, 'units': 128, 'dropout': 0.3, 'learning_rate': 0.0007339216231845529, 'batch_size': 64}",2.021340411517294,62.000247110810605
Paediatrics,ARIMA,val,54.91663026452833,1.414724070607743,1.8218226134481121,-0.03864881656181374,"(0, 1, 2)",,,
Paediatrics,ARIMA,test,53.50198561023662,1.6535993653822842,2.072113658848749,-0.017540701340095888,"(0, 1, 2)",,,
Paediatrics,SARIMAX,val,100.50456891150172,1.9676239753099183,2.5055454974599902,-0.9645411965106272,"(2, 1, 0)x(2, 1, 0, 7)",,,
Paediatrics,SARIMAX,test,85.10068936973451,2.2814458148894983,2.835829114776187,-0.905832623931708,"(2, 1, 0)x(2, 1, 0, 7)",,,
Paediatrics,NB-GLM,val,55.25663946489174,1.4001025320140885,1.789298880731985,-0.0018952882596607878,,,,
Paediatrics,NB-GLM,test,48.57914836452571,1.658407538207998,2.1208373650974806,-0.06595623784488813,,,,
Paediatrics,XGBoost,val,67.9287873669994,1.676266266093792,2.1576855445680674,-0.4569104477313719,,"{'n_estimators': 100, 'max_depth': 6, 'learning_rate': 0.3, 'subsample': 0.7}",1.8478254130018743,55.080495049698015
Paediatrics,XGBoost,test,66.24666973518497,1.9397917476040547,2.419001626962828,-0.3867461340347813,,"{'n_estimators': 100, 'max_depth': 6, 'learning_rate': 0.3, 'subsample': 0.7}",1.8478254130018743,55.080495049698015
Paediatrics,ANN,val,55.01999391671668,1.4238005727529526,1.812850883895208,-0.02844416614620071,,"{'hidden_layers': 2, 'units': 256, 'dropout': 0.2, 'learning_rate': 0.004844677737096722, 'batch_size': 32}",1.9444099952485754,43.4318354845047
