trial,alpha,beta,gamma,total_cost_mean,holding_mean,ordering_mean,stockout_mean,expiry_mean,stockout_incidence_pct_mean,n_orders_mean,n_stockout_events_mean,total_cost_std,holding_std,ordering_std,stockout_std,expiry_std,stockout_incidence_pct_std,n_orders_std,n_stockout_events_std
10,1.019473355070112,1.4882964404209,0.9009926602058109,430345.6704393151,69483.610430161,33375.0,327487.0600091541,0.0,46.906565656565654,61.5,246.125,85973.65642039964,2239.921856190865,1174.125814626111,87318.4185125916,0.0,19.98747457858153,2.0,125.76558409540006
11,1.331600312147105,1.5474772804496217,0.5302826434556286,333253.2215446999,64245.12595973871,52175.0,216833.0955849612,0.0,34.1540404040404,95.5,180.0,104737.16170396814,2941.4652969402773,1570.0318468107582,107639.51973245364,0.0,19.96604150590549,2.7774602993176543,110.13498211610282
12,1.143525200548829,1.9965770862630094,0.8903489936382418,340817.0962705711,80504.79458768046,37287.5,223024.80168289068,0.0,31.470959595959595,68.75,159.0,138427.9572055008,3115.901706573467,1177.0878107795163,141473.62625471156,0.0,25.60786696242237,1.9820624179302297,132.6736059443841
13,0.9067436747539235,0.364070275800245,0.918715204701815,1128772.3096526605,47179.97965287465,26875.0,1054717.3299997859,0.0,71.11742424242425,50.0,581.5,324616.18211076315,1372.3763687028288,875.0510189207745,326474.090633522,0.0,12.678059341586735,1.6035674514745464,150.50201707238725
14,1.4701653099919905,1.581427933086125,0.724719980136221,335791.1444452116,69645.77323032232,40568.75,225576.62121488937,0.0,41.50883838383838,74.375,202.625,109264.02396667801,3228.0628055007296,950.915911860019,111845.5023320583,0.0,16.975868060830727,1.5979898086569353,101.87378395417959
15,1.1101433983910942,1.7368283112142788,1.0607663329339503,417439.08360072144,79291.99219293012,29793.75,308353.34140779136,0.0,51.041666666666664,55.375,265.375,206187.50780802377,5526.743717469012,1748.7623174282842,212691.21950066317,0.0,18.939844871976696,3.020761493398643,140.50921423776552
16,0.8551181559458652,1.3707532280624795,1.3333500964980198,648187.520742049,76979.81098217462,24606.25,546601.4597598743,0.0,42.48737373737374,46.125,228.75,483411.06978237204,4402.227980501184,1042.126089163056,488603.04073518486,0.0,26.072107683748563,1.7268882005337975,173.76318038394342
17,1.225511569360264,1.9605416199337289,2.1279982424690895,354576.9589340006,119479.50393773826,19818.75,215278.70499626227,0.0,36.20580808080808,37.375,180.625,104087.37519650464,5772.341204737621,455.08044814704385,107801.50441473616,0.0,20.639181243359843,0.9161253813129043,108.43027713696945
18,1.0043306778059133,1.6597455262129048,0.5131679933155051,363262.6734068835,62636.07544985766,52637.5,247989.09795702584,0.0,42.86616161616161,96.25,217.0,167572.44756699027,2850.9910864481753,2127.162764945698,171120.95599591953,0.0,18.59046052412801,3.575711717366808,111.7535553924668
19,1.4663510985809038,1.3566181284628385,1.0870181042372182,420407.5061985859,76307.77732012664,29150.0,314949.7288784593,0.0,37.94191919191919,54.0,218.375,162346.66908081586,2950.4905539485612,935.0324669687756,164946.68966660384,0.0,26.160010842901283,1.5118578920369088,155.51659305130664
20,1.1006877448272692,1.8312712536803173,0.724112475336949,331804.2554286094,73297.61383003418,41287.5,217219.14159857522,0.0,34.5959595959596,75.75,172.25,93223.29959073762,3458.855304173918,789.5523143800272,95677.470637606,0.0,16.721236476311166,1.164964745021435,88.64334637829766
21,1.1145444906141906,1.8188635485341698,0.7207314760377704,360064.24653961294,72382.80108850233,41312.5,246368.9454511106,0.0,41.098484848484844,75.75,201.625,124050.29935532343,3052.5918981193618,1384.0287982140092,126585.15071185681,0.0,19.660282368638082,2.49284690951645,103.5014665182507
22,1.1900253258019164,1.9934311650544674,0.738616528828849,312519.4179317823,76950.82129059771,41043.75,194524.8466411846,0.0,34.28030303030303,75.375,172.875,93097.1608314783,3445.959639924094,1534.4700108785814,95721.28342785298,0.0,18.258690906170308,2.9246489410818914,108.36108618872368
23,1.3593598944485286,1.9914866184055935,0.7719222090098032,370777.0037004646,80998.6986238758,39718.75,250059.5550765888,0.0,41.63510101010101,72.875,216.875,115827.09913913894,1952.6139474298473,1303.54941272994,117076.67119622917,0.0,23.534810661730955,2.5319388392523003,140.968524855728
24,1.2182517879285182,1.684548438972711,1.082116667226487,542255.7763704135,78398.44500015944,29831.25,434026.08137025405,0.0,49.17929292929293,55.125,259.875,401618.431135097,5459.718675760733,751.6351223451823,406628.48662309477,0.0,23.34371235839173,1.246423454758225,157.71532899499655
