alpha,beta,gamma,total_cost_mean,holding_mean,ordering_mean,stockout_mean,expiry_mean,stockout_incidence_pct_mean,n_orders_mean,n_stockout_events_mean,total_cost_std,holding_std,ordering_std,stockout_std,expiry_std,stockout_incidence_pct_std,n_orders_std,n_stockout_events_std
1.0,1.15,1.5,396888.13029922196,78419.03534262069,22637.5,295831.5949566013,0.0,43.30808080808081,42.25,228.875,158940.1694813794,3954.063838894053,958.3281573359186,162941.38664211205,0.0,23.88657783927265,1.8322507626258087,139.70523816746663
1.0,1.15,2.5,399544.66915752983,109712.00243161013,18700.0,271132.6667259197,0.0,38.85732323232323,35.0,189.875,111770.40403352804,1846.9120632701936,483.29228068677924,112266.19261630044,0.0,18.615282278623262,0.9258200997725514,97.60479715962443
1.0,2.0,0.5,311091.42735147884,70049.12683477846,57637.5,183404.80051670037,0.0,33.39646464646465,105.75,167.125,89230.72086679866,2561.7992130117855,736.1822367554691,91714.54634376994,0.0,14.01507026483475,1.5811388300841898,75.0113086712359
1.0,2.0,1.5,340520.1735561411,98719.5079029892,24593.75,217206.91565315187,0.0,34.217171717171716,45.875,166.875,102455.00965777511,5011.10880413752,791.218544849832,106231.05620279089,0.0,27.58954985466891,1.3562026818605375,132.82366129571943
1.0,2.0,2.5,358098.8568587277,131596.07842888814,18756.25,207746.52842983956,0.0,33.11237373737374,35.125,163.0,115493.6968744331,4310.375303189758,489.4877059597251,115618.79729673435,0.0,22.301379702851996,0.9910312089651149,113.99122773266372
1.5,0.3,0.5,1229287.424917856,39974.89011199981,43175.0,1146137.5348058562,0.0,82.76515151515152,79.0,738.0,154948.58877862938,874.3973607212293,2562.643724192432,157413.86998762385,0.0,9.36704827698734,4.9856938190329,184.81110047056927
1.5,0.3,1.5,1011004.1289982325,61935.89913212714,21368.75,927699.4798661054,0.0,67.10858585858585,39.875,488.0,435816.0737215004,3323.9451393128093,991.3690029449176,439296.1951994425,0.0,18.380522947633246,1.6420805617960927,204.7095503390108
1.5,0.3,2.5,698406.8410253051,88924.92379034554,18393.75,591088.1672349595,0.0,57.986111111111114,34.375,365.125,208574.52353576213,3278.0204099758275,389.5395633675371,210740.5662056395,0.0,15.02104570838798,0.7440238091428449,138.39017048083394
1.5,1.15,0.5,418994.7057972164,55326.51416150501,51406.25,312261.94163571135,0.0,49.81060606060606,94.125,268.0,99384.43109525504,2246.759547036806,1995.7879754265339,101176.88913749828,0.0,20.460891004389694,3.6425069859723185,142.15384020741152
1.5,1.15,1.5,489742.1916899193,82446.81128506853,23050.0,384245.3804048507,0.0,43.87626262626262,43.0,237.0,193426.04206631126,3068.791167879158,580.0246300189083,196128.1439741889,0.0,18.53697045214012,0.9258200997725514,121.04898654204894
1.5,1.15,2.5,429538.4611642101,112601.83302450007,18756.25,298180.37813971005,0.0,39.64646464646464,35.125,203.875,130856.44186389491,4436.485506634929,778.4772223477612,134092.46928246488,0.0,23.814770509413304,1.5526475085202969,130.5805033576715
1.5,2.0,0.5,320792.00063574925,74943.17041527628,56775.0,189073.830220473,0.0,32.891414141414145,104.0,168.5,116771.6137870757,1430.9699132611063,1833.225105030554,118645.97803682904,0.0,23.862061607721817,3.295017884191656,127.76652814522947
1.5,2.0,1.5,369760.26926236786,101536.94690251126,24875.0,243348.32235985657,0.0,43.213383838383834,46.5,211.625,112187.76535557314,3988.84507112474,772.7501906456298,115978.54746438237,0.0,21.9986778300736,1.5118578920369088,115.59156852593408
1.5,2.0,2.5,373891.176396033,135766.80139603303,19375.0,218749.375,0.0,40.34090909090909,36.5,216.375,132528.60513509324,4656.165806089694,563.1543812693435,136333.05448783192,0.0,25.45007505008197,1.0690449676496976,155.55516935893104
